% Model,Varennes_GD_gfunc.mph,,
% Version,COMSOL 5.2.1.262,,
% Date,"Apr 12 2020, 10:14",,
% Table,Tcalc - ,,
% Temps (d),"Température (degC), EWT","Température (degC), LWT","Charge hydraulique (m), Charge hydraulique au puits"
0,0,-1.14E-13,213.0113773
2.89E-06,0,0.340049738,213.0150207
8.68E-06,0,-0.258401735,213.0141658
1.56E-05,0,0.492791223,213.0134363
2.38E-05,0,0.803437894,213.0128563
3.35E-05,0,0.948211037,213.0123599
4.49E-05,0,0.98991979,213.0119113
5.84E-05,0,0.996567346,213.0114912
7.42E-05,0,0.997782561,213.011088
9.30E-05,0,0.997728429,213.0106941
1.15E-04,0,0.997749315,213.0103041
1.41E-04,0,0.997942338,213.0099139
1.72E-04,0,0.998327929,213.0095205
2.08E-04,0,0.999040166,213.0091212
2.81E-04,0.002182137,1.001248792,213.0084784
4.26E-04,0.008053624,1.007120001,213.0075159
7.17E-04,0.018570211,1.017636092,213.0061665
0.001298751,0.030066971,1.029132312,213.0043762
0.001993196,0.038267262,1.037332219,213.0028811
0.00268764,0.044912467,1.043977113,213.0017947
0.003382085,0.051154934,1.050219289,213.0009948
0.004076529,0.057160558,1.056224634,213.0003932
0.004770974,0.062941839,1.062005647,212.999923
0.005465418,0.06851216,1.067575711,212.9995373
0.006159863,0.073910634,1.072973935,212.9992067
0.006854307,0.079161207,1.078224266,212.9989132
0.007548751,0.08427373,1.083336554,212.9986465
0.008243196,0.089258992,1.088321587,212.9984001
0.00893764,0.094156771,1.093219142,212.9981658
0.009632085,0.098953704,1.098015855,212.997945
0.010326529,0.10366017,1.102722106,212.9977365
0.011020974,0.108273251,1.107334977,212.9975387
0.011715418,0.112785295,1.111846816,212.9973502
0.012409863,0.117195414,1.116256735,212.9971698
0.013104307,0.12152569,1.120586815,212.9969964
0.013798751,0.125793047,1.124853979,212.9968291
0.014493196,0.129983422,1.129044164,212.9966673
0.01518764,0.134073154,1.133133712,212.9965103
0.015882085,0.13806777,1.137128148,212.9963579
0.016576529,0.141995521,1.141055722,212.9962097
0.017270974,0.145863746,1.144923774,212.9960652
0.017965418,0.149669734,1.148729591,212.9959244
0.018659863,0.153413425,1.152473115,212.9957868
0.019354307,0.15709477,1.156154294,212.9956523
0.020048751,0.160712642,1.159772005,212.9955208
0.020743196,0.164270653,1.163329858,212.995392
0.02143764,0.167788255,1.166847303,212.9952657
0.022132085,0.171300224,1.170359116,212.9951418
0.022826529,0.174844164,1.173902899,212.9950202
0.023520974,0.178446887,1.177505462,212.9949006
0.024215418,0.182161796,1.181220206,212.994783
0.024909863,0.18607331,1.185131548,212.9946671
0.025604307,0.190270617,1.189328669,212.9945528
0.026298751,0.194892839,1.193950688,212.9944398
0.026993196,0.200110898,1.199168517,212.9943279
0.02768764,0.206113312,1.205170668,212.9942168
0.028382085,0.213078771,1.212135822,212.9941061
0.029076529,0.22122846,1.220285156,212.9939953
0.029770974,0.230768861,1.229825142,212.9938841
0.030465418,0.24191795,1.240973749,212.9937721
0.031159863,0.254765974,1.253821219,212.9936589
0.031854307,0.269177447,1.268232074,212.9935444
0.032548751,0.284786321,1.283840284,212.9934284
0.033243196,0.301095908,1.300149181,212.9933113
0.03393764,0.31768721,1.316739785,212.9931935
0.034632085,0.334084462,1.333136353,212.9930757
0.035326529,0.349926803,1.348978038,212.9929586
0.036020974,0.364914222,1.363964839,212.9928434
0.036715418,0.378965788,1.37801583,212.9927304
0.037409863,0.392048376,1.391097886,212.99262
0.038104307,0.40422406,1.403273077,212.9925125
0.038798751,0.415617224,1.414665782,212.9924079
0.039493196,0.426421691,1.425469816,212.992306
0.04018764,0.436826257,1.435873967,212.9922067
0.040882085,0.446978678,1.446025985,212.9921095
0.041576529,0.456890656,1.455937571,212.9920141
0.042270974,0.466554307,1.465600841,212.9919204
0.042965418,0.475951362,1.474997528,212.9918282
0.043659863,0.485070227,1.484116036,212.9917375
0.044354307,0.493916199,1.492961665,212.9916481
0.045048751,0.502510343,1.501555475,212.9915601
0.045743196,0.510773797,1.50981861,212.9914738
0.04643764,0.518861189,1.517905692,212.9913888
0.047132085,0.526788313,1.525832511,212.991305
0.047826529,0.534620192,1.533664091,212.991222
0.048520974,0.542325127,1.541368733,212.99114
0.049215418,0.549890893,1.548934213,212.991059
0.049909863,0.557314043,1.556357081,212.990979
0.050604307,0.56459609,1.563638854,212.9909
0.051298751,0.57174302,1.570785516,212.990822
0.051993196,0.57876526,1.577807494,212.9907449
0.05268764,0.585624585,1.584666562,212.990669
0.053382085,0.592394204,1.59143593,212.9905939
0.054076529,0.599083807,1.598125285,212.9905197
0.054770974,0.605727347,1.604768579,212.990446
0.055465418,0.612314837,1.611355827,212.9903731
0.056159863,0.618849658,1.617890407,212.990301
0.056854307,0.625340701,1.624381213,212.9902295
0.057548751,0.631787571,1.630827848,212.9901589
0.058243196,0.638231521,1.637271563,212.990089
0.05893764,0.644690664,1.643730471,212.9900197
0.059632085,0.651181137,1.65022071,212.9899509
0.060326529,0.657699205,1.656738543,212.9898825
0.061020974,0.664260612,1.663299714,212.9898146
0.061715418,0.6708765,1.669915365,212.9897473
0.062409863,0.677554751,1.676593378,212.9896804
0.063104307,0.684298825,1.683337212,212.9896139
0.063798751,0.691111397,1.690149542,212.9895478
0.064493196,0.698020831,1.697058731,212.9894823
0.06518764,0.704980723,1.704018378,212.9894172
0.065882085,0.711978048,1.711015457,212.9893525
0.066576529,0.718998923,1.718036086,212.9892882
0.067270974,0.726029561,1.725066478,212.9892244
0.067965418,0.733059487,1.73209616,212.989161
0.068659863,0.740081514,1.739117943,212.9890979
0.069354307,0.747086909,1.746123097,212.9890353
0.070048751,0.75406669,1.753102637,212.9889732
0.070743196,0.760992594,1.760028304,212.9889118
0.07143764,0.767871836,1.766907311,212.9888508
0.072132085,0.774700405,1.773735648,212.9887904
0.072826529,0.781475863,1.780510876,212.9887305
0.073520974,0.788215895,1.787250679,212.9886709
0.074215418,0.794907455,1.793942014,212.9886119
0.074909863,0.801545474,1.80057981,212.9885534
0.075604307,0.808128283,1.807162398,212.9884953
0.076298751,0.814655454,1.813689352,212.9884378
0.076993196,0.821126813,1.820160495,212.9883807
0.07768764,0.82751455,1.826548021,212.9883243
0.078382085,0.833848617,1.832881878,212.9882684
0.079076529,0.840130158,1.839163213,212.988213
0.079770974,0.846359947,1.845392797,212.988158
0.080465418,0.852538844,1.851571492,212.9881035
0.081159863,0.858667948,1.857700396,212.9880494
0.081854307,0.864765654,1.863797903,212.9879957
0.082548751,0.870821061,1.869853114,212.9879424
0.083243196,0.876830269,1.875862128,212.9878896
0.08393764,0.882792694,1.881824361,212.9878371
0.084632085,0.888685077,1.887716554,212.9877852
0.085326529,0.894533775,1.893565065,212.9877337
0.086020974,0.900341124,1.899372229,212.9876826
0.086715418,0.906108976,1.905139898,212.9876319
0.087409863,0.911839043,1.910869783,212.9875816
0.088104307,0.917545884,1.916576444,212.9875316
0.088798751,0.923222105,1.922252486,212.9874819
0.089493196,0.928865485,1.927895688,212.9874327
0.09018764,0.934476227,1.933506255,212.9873838
0.090882085,0.940039419,1.939069273,212.9873355
0.091576529,0.945574352,1.944604034,212.9872874
0.092270974,0.951083214,1.950112725,212.9872397
0.092965418,0.956567618,1.955596959,212.9871924
0.093659863,0.962028927,1.961058099,212.9871453
0.094354307,0.96747621,1.966505215,212.9870986
0.095048751,0.972905002,1.97193384,212.9870521
0.095743196,0.978313788,1.977342461,212.9870059
0.09643764,0.983702424,1.982730933,212.9869601
0.097132085,0.989071263,1.988099609,212.9869146
0.097826529,0.99442062,1.993448804,212.9868693
0.098520974,0.999750662,1.998778684,212.9868244
0.099215418,1.005062008,2.004089871,212.9867798
0.099909863,1.010355557,2.00938326,212.9867355
0.100604307,1.01563159,2.014659136,212.9866915
0.101298751,1.020889774,2.019917163,212.9866477
0.101993196,1.026129512,2.025156745,212.9866043
0.10268764,1.031350329,2.030377406,212.9865611
0.103382085,1.036551568,2.035578492,212.9865182
0.104076529,1.041732684,2.040759455,212.9864756
0.104770974,1.046893515,2.045920134,212.9864332
0.105465418,1.052034056,2.051060524,212.9863912
0.106159863,1.057153402,2.056179721,212.9863494
0.106854307,1.062250697,2.061276867,212.9863079
0.107548751,1.067326498,2.066352521,212.9862667
0.108243196,1.07238138,2.071407256,212.9862258
0.10893764,1.077403031,2.076428761,212.9861851
0.109632085,1.082402496,2.081428083,212.9861447
0.110326529,1.087379994,2.086405438,212.9861046
0.111020974,1.092335438,2.091360739,212.9860647
0.111715418,1.097268543,2.096293704,212.9860251
0.112409863,1.102179291,2.101204312,212.9859858
0.113104307,1.107067848,2.10609273,212.9859467
0.113798751,1.111934391,2.110959136,212.9859079
0.114493196,1.116779092,2.1158037,212.9858693
0.11518764,1.121602271,2.120626743,212.9858309
0.115882085,1.126404163,2.125428501,212.9857928
0.116576529,1.131184848,2.130209052,212.985755
0.117270974,1.135944412,2.134968482,212.9857174
0.117965418,1.140682951,2.13970689,212.98568
